A319	34
EC20	0
C56X	17
C510	13.16
C525	14.3
CL30	18.4
PRM1	13.56	
CL60	18.85
C72R	11
P28A	10.7
DA40	11.94	
A109	0
GLF4	23.7	
M20T	11.13	
LJ45	15	
PC12	16	
B763	47.60
A320	35.8
B738	34.32
E190	28.72
E170	26
B77W	64.8
A388	79.8
AT72	27
CRJ2	21.21
B733	28.9
B735	28.8
CRJ9	25
A321	34
A333	60.3
A343	60.3
F100	12
RJ1H	26.34
SB20	24.8
B737	28.35
DH8D	28.4
B788	60.1
B736	34.3
A346	63.45	
B762	47.6
A332	60.3
BE33	10.2
DH8C	27.43
E120	19.77
B06	0
E135	20.04	
BE40	13.3
GLEX	26.9
H25B	15.7
C680	19
C25B	15.5
GLF5	28.5
DA42	13.42
C25A	15.1
F900	19.3
FA7X	26.21
F2TH	19.3
E55P	15.9
B734	28.9
AT45	24.6
G280	19.2
AS50	0
SF34	21.4
J328	20.9
CRJ7	23.24
C172	10.9
A139	0
BE9L	15.3
GL5T	28.65
LJ60	13.4
C550	15.9
C650	16.31
B74S	59.6
PA34	11.9
F70	28.1
B712	28.47
P180	14
R44	0
R90R	9.5
EC30	0
AC11	10
GALX	17.4
D328	20.98
EC55	0
B350	17.7
EC45	0
P46T	13.1
TBM7	12.2
AT43	24.6
SR22	11.68
Z43	9.76
TRIN	9.8
LJ35	12
E50P	12.3
LJ40	14.56
HA4T	18.82
GLF6	30.36
BE35	10
A310	43.9
A345	63.45
PAY2	13
E145	20.04
C551	15.9
B463	26.21
JS32	15.85
C25C	15.5
B77L	60.9
PA32	10
G150	16.9
B407	0
BE20	16.6
EC35	0
AT76	27
C402	13.5
AC90	14.2
AEST	10.4
LJ55	13.3
PAY3	14.5
B744	64.4
PA46	13.1
COL4	11
FA50	18.8
115	0
RJ85	26.2
P28T	10.8
A318	34.1
IL62	43.2
B752	38.5
C182	11
LJ31	13.4
AS65	0
A119	0
AS32	0
B739	35.8
C560	15.9
B461	26.2
C210	11.2
EXPL	0
B773	60.9
C303	11.9
BE58	11.5
DA20	11
R22	0
M20J	11.2
C180	10.8
PC7	10.4
A124	73.3
BE30	13.3
C750	19.5
BE55	11.5
C208	15.8
M20P	11
S76	0
A342	60.3
C501	14.4
SW4	18.1
TBM8	12.7
C421	12.8
B429	0
C130	40.4
B764	51.9
DR40	8.7
AN72	31.9
AS55	0
H269	0
B742	59.6
EPIC	12.5
FA10	13
C10T	11.1
C340	11.6
C441	15
P28R	10.8
CRJ1	19.6
F50	29
G120	10.1
AT75	27
SR20	10.8
C414	14.4
P28B	9.2
PA31	12.4
B190	17.7
B772	60.9
EA50	11.4
P06T	11.4
AN12	38
MD82	32.9
D11	8.2
EAGL	6.1
B430	0
B105	0
SW3 	14.1
P32R	11
M7	10.2
AT73	27.1
PAY4	14.5
C500	14.4
MU2	11.9
CONI	38.4
MD11	51.6
BE36	10.2
C425	13.5
C17	52.5
VEZE	6.8
DV20	10.9
MD52	0
P51	11.2
B462	26.2
ASTR	16
PA28	10.8
LJ75	14
SIRA	8.6
H25C	15.6
BE23	10
A210	10.3
PAY1	13
RV4	7
PA11	10.8
DR1	7.2
B748	68.4
CRUZ	8.6
MD83	32.9
C310	11.3
AS16	16
E400	11.5
DC6 	35.8
DIMO	16.5
FDCT	9.3
C152	10.1
PC6T	15.8
PA23	11.3
SU95	27.8
BE18	15.1
CRJX	26.2
SW2	13.9
IL76	50.6
R300	9.8
BE60	12
L200	12.3
DC3	28.9
AN26	29.2
MD87	32.9
P210	11.2
BE10	14
SF25	15.3
C337	11.6
EN48	0
A140	24.5
YK40	25
C30J	40.4
JU52	29.2
AAT3	7.5
GLF3	23.7
101	0
R66	0
TB21	9.7
KODI	13.7
B789	62
FK14	9.1
E500	11.5
B721	32.9
TB20	9.7
WT9	9
C82R	11
T154	37.5
RJ70	26.2
C206	15.8
AS2T	9.8
FA20	15.4
HUSK	10.7
E195	28.7
G2CA	0
E300	8
BCS1	35.1
F406	15
PA44	11.8
E35L	21.17
120	0
MU30	13.2
RV7	7.7
C55B	15.9
H500	0
S22T	12
S92	0
C295	26
IL96	55.4
BE9T	15.3
P208	12.8
E550	20.25
SH36	22.8
C150	10.2
RV8	7.38
A359	64.75
C5	67.9
H60	0
T204	42
P68	12
F18	12.3
B212	14.64
E545	20.25
AA5	9.6
MD50	0
GX	0
D228	16.97
C240	27.97
S601	12.9
C68A	22.05
C42	9.45
DHC6	19.8
DA62	15
L8	8
A306	44.84
B753	38.1
DOVE	17.4
EN28	0
AN22	64.4
C25M	15
E175	26
330	0
A30B	44.8
BCS3	35.1
FA8X	26.3
CL35	19.46
C77R	10.82
P28U	10.8
HDJT	12.2
CE43	10
B412	0
AR15	11.5
A169	0
TBM9	12.8
SF50	11.7
108	0
E75S	26
E75L	26
TOBA	9.8
J3	10.7
A20N	35.8
C335	11.6
KMAX	0
A400	42.4
P337	11.6
CN35	25.8
VTOR	12
130	0
PA18	10.7
AS02	9.7
S6	18
B505	0
PC24	17
B722	32.9
B38M	35.9
HUNT	10.2
C365	13.7
PP3	10.3
AN2	18.1
F5	7.8
E290	33
C52M	15
A21N	35.8
C52C	15